tahun,nama_kabkota,kecamatan,jumlah_kelurahan,jumlah_ruta,berat_beras
2012,Kepulauan Seribu,Kepulauan Seribu Selatan,3,4325,64875
2012,Kepulauan Seribu,Kepulauan Seribu Utara,3,5490,82350
2012,Jakarta Selatan,Kebayoran Lama,6,44316,664740
2012,Jakarta Selatan,Pasar Minggu,7,50357,755355
2012,Jakarta Selatan,Mampang Prapatan,5,30681,460215
2012,Jakarta Selatan,Kebayoran Baru,10,20150,302250
2012,Jakarta Selatan,Setia Budi,8,13047,195705
2012,Jakarta Selatan,Tebet,7,57503,862545
2012,Jakarta Selatan,Cilandak,5,22123,331845
2012,Jakarta Selatan,Pesanggrahan,5,36364,545460
2012,Jakarta Selatan,Jagakarsa,6,33337,500055
2012,Jakarta Selatan,Pancoran,6,11811,177165
2012,Jakarta Timur,Jantinegara,8,114823,1722345
2012,Jakarta Timur,Ciracas,5,36115,541725
2012,Jakarta Timur,Cipayung,8,56179,842685
2012,Jakarta Timur,Pulogadung,7,86291,1294365
2012,Jakarta Timur,Duren Sawit,7,68691,1030365
2012,Jakarta Timur,Matraman,6,48030,720450
2012,Jakarta Timur,Pasar Rebo,5,40445,606675
2012,Jakarta Timur,Cakung,7,153910,2308650
2012,Jakarta Timur,Kramat Jati,7,44176,662640
2012,Jakarta Timur,Makasar,5,54617,819255
2012,Jakarta Pusat,Kemayoran,8,65627,984405
2012,Jakarta Pusat,Sawah Besar,5,36928,553405
2012,Jakarta Pusat,Senen,6,41188,617820
2012,Jakarta Pusat,Cempaka Putih,3,17655,264825
2012,Jakarta Pusat,Tanah Abang,7,42838,642570
2012,Jakarta Pusat,Gambir,6,28040,420600
2012,Jakarta Pusat,Menteng,5,27682,415230
2012,Jakarta Pusat,Johar Baru,4,58673,880095
2012,Jakarta Barat,Grogol Petamburan,7,38404,576060
2012,Jakarta Barat,Cengkareng,6,155641,2334615
2012,Jakarta Barat,Kebon Jeruk,7,53049,795735
2012,Jakarta Barat,Tambora,11,83990,1259850
2012,Jakarta Barat,Taman Sari,8,36579,548685
2012,Jakarta Barat,Kali Deres,5,121439,1821585
2012,Jakarta Barat,Palmerah,6,29676,445140
2012,Jakarta Barat,Kembangan,6,40407,606105
2012,Jakarta Utara,Penjaringan,5,143569,2153535
2012,Jakarta Utara,Tanjung Priok,7,98016,1470240
2012,Jakarta Utara,Koja,6,155256,2328840
2012,Jakarta Utara,Cilincing,7,238879,3583185
2012,Jakarta Utara,Padamengan,3,77121,1156815
2012,Jakarta Utara,Kelapa Gading,3,24843,372645
